id,First_name,Last_name,Year,Position,Team,Nationality,MVP_status,Team_id
0,Bob,Cousy,1957,Guard,Boston Celtics,US,Champion,1610612738
1,Bill,Russell,1958,Center,Boston Celtics,US,Vice-Champion,1610612738
2,Bill,Russell,1961,Center,Boston Celtics,US,Champion,1610612738
3,Bill,Russell,1962,Center,Boston Celtics,US,Champion,1610612738
4,Bill,Russell,1963,Center,Boston Celtics,US,Champion,1610612738
5,Bill,Russell,1965,Center,Boston Celtics,US,Champion,1610612738
6,Dave,Cowens,1973,Center,Boston Celtics,US,Not reached Final,1610612738
7,Larry,Bird,1984,Forward,Boston Celtics,US,Champion,1610612738
8,Larry,Bird,1985,Forward,Boston Celtics,US,Vice-Champion,1610612738
9,Larry,Bird,1986,Forward,Boston Celtics,US,Champion,1610612738
10,Wilt,Chamberlain,1966,Center,Philadelphia 76ers,US,Not reached Final,1610612755
11,Wilt,Chamberlain,1967,Center,Philadelphia 76ers,US,Champion,1610612755
12,Wilt,Chamberlain,1968,Center,Philadelphia 76ers,US,Not reached Final,1610612755
13,Julius,Erving,1981,Forward,Philadelphia 76ers,US,Not reached Final,1610612755
14,Moses,Malone,1983,Center,Philadelphia 76ers,US,Champion,1610612755
15,Allen,Iverson,2001,Guard,Philadelphia 76ers,US,Vice-Champion,1610612755
16,Willis,Reed,1970,Center,New York Knicks,US,Champion,1610612752
17,Lew,Alcindor,1971,Center,Milwaukee Bucks,US,Champion,1610612749
18,Kareem,Abdul-Jabbar,1972,Center,Milwaukee Bucks,US,Not reached Final,1610612749
19,Kareem,AJabbar,1974,Center,Milwaukee Bucks,US,Vice-Champion,1610612749
20,Kareem,AJabbar,1976,Center,Los Angeles Lakers,US,Not reached Final,1610612747
21,Kareem,A-Jabbar,1977,Center,Los Angeles Lakers,US,Not reached Final,1610612747
22,Kareem,AJabbar,1980,Center,Los Angeles Lakers,US,Champion,1610612747
23,Magic,Johnson,1987,Guard,Los Angeles Lakers,US,Champion,1610612747
24,Magic,Johnson,1989,Guard,Los Angeles Lakers,US,Vice-Champion,1610612747
25,Magic,Johnson,1990,Guard,Los Angeles Lakers,US,Not reached Final,1610612747
26,Shaquille,O'Neal,2000,Center,Los Angeles Lakers,US,Champion,1610612747
27,Kobe,Bryant,2008,Guard,Los Angeles Lakers,US,Vice-Champion,1610612747
28,Bill,Walton,1978,Center,Portland Trail Blazers,US,Not reached Final,1610612757
29,Moses,Malone,1979,Center,Houston Rockets,US,Not reached Final,1610612745
30,Moses,Malone,1982,Center,Houston Rockets,US,Not reached Final,1610612745
31,Hakeem,Olajuwon,1994,Center,Houston Rockets,Nigeria,Champion,1610612745
32,James, Harden,2018,Guard,Houston Rockets,US,Not reached Final,1610612745
33,Michael,Jordan,1988,Guard,Chicago Bulls,US,Not reached Final,1610612741
34,Michael,Jordan,1991,Guard,Chicago Bulls,US,Champion,1610612741
35,Michael,Jordan,1992,Guard,Chicago Bulls,US,Champion,1610612741
36,Michael,Jordan,1996,Guard,Chicago Bulls,US,Champion,1610612741
37,Michael,Jordan,1998,Guard,Chicago Bulls,US,Champion,1610612741
38,Derrick, Rose,2011,Guard,Chicago Bulls,US,Not reached Final,1610612741
39,Charles,Barkley,1993,Forward,Phoenix Suns,US,Vice-Champion,1610612756
40,Steve,Nash,2005,Guard,Phoenix Suns,Canada,Not reached Final,1610612756
41,Steve,Nash,2006,Guard,Phoenix Suns,Canada,Not reached Final,1610612756
42,David,Robinson,1995,Center,San Antonio Spurs,US,Not reached Final,1610612759
43,Tim,Duncan,2002,Forward,San Antonio Spurs,US,Not reached Final,1610612759
44,Tim,Duncan,2003,Forward,San Antonio Spurs,US,Champion,1610612759
45,Karl, Malone,1997,Forward,Utah Jazz,US,Vice-Champion,1610612762
46,Karl,Malone,1999,Forward,Utah Jazz,US,Not reached Final,1610612762
47,Kevin,Garnett,2004,Forward,Minnesota Timberwolves,US,Not reached Final,1610612750
48,Dirk, Nowitzki,2007,Forward,Dallas Mavericks,Germany,Not reached Final,1610612742
49,Lebron,James,2009,Forward,Cleveland Cavaliers,US,Not reached Final,1610612739
50,Lebron,James,2010,Forward,Cleveland Cavaliers,US,Not reached Final,1610612739
51,LeBron,James,2012,Forward,Miami Heat,US,Champion,1610612748
52,LeBron,James,2013,Forward,Miami Heat,US,Champion,1610612748
53,Kevin,Durant,2014,Forward,Oklahoma City Thunder,US,Not reached Final,1610612760
54,Russell,Westbrook,2017,Guard,Oklahoma City Thunder,US,Not reached Final,1610612760
55,Stephen,Curry,2015,Guard,Golden State Warriors,US,Champion,1610612744
56,Stephen,Curry,2016,Guard,Golden State Warriors,US,Vice-Champion,1610612744
